Label,URL,brand,name,price,ingredients
laver,https://labelleboucle.fr/collections/laver/products/elastique-en-spirales,LA BELLE BOUCLE,Élastique en spirales,"0,75€",No Info
laver,https://labelleboucle.fr/collections/laver/products/vaporisateur-cheveux-boucles,LA BELLE BOUCLE,Vaporisateur Cheveux Bouclés,"11,90€",No Info
laver,https://labelleboucle.fr/collections/laver/products/brosse-demelante-cheveux-boucles,LA BELLE BOUCLE,Brosse Démêlante Cheveux Bouclés,"14,90€",No Info
laver,https://labelleboucle.fr/collections/laver/products/peigne-a-dents-larges-en-bois-pour-cheveux-boucles,LA BELLE BOUCLE,Peigne à dents larges en Bois pour Cheveux Bouclés,"9,90€","Bois de bambou 100 % naturel.

Cet accessoire en Bois de Bambou est 100 % naturel. Il mesure 15 cm sur 5,5 cm."
laver,https://labelleboucle.fr/collections/laver/products/serviette-a-cheveux-en-bambou,LES TENDANCES D'EMMA,Serviette à Cheveux en Bambou,No Info,"Composition de la Serviette : 90% viscose de bambou et 10% polyester.

Viscose de Bambou certifiée oekotex standard 100 classe 1

Fabriquée en France

Dimension : 50x70cm
La taille unique de la Serviette convient aux adultes et aux enfants."
laver,https://labelleboucle.fr/collections/laver/products/bonnet-de-soin-capillaire-2,LA BELLE BOUCLE,Bonnet de Soin Capillaire,No Info,"Les Bonnets de Soin sont confectionnés à la main avec amour et passion par BiotéNaturelle en exclusivité pour la boutique Belle Boucle !

La fabrication est réalisée à partir de tissus certifiés OekoTex. Nous vous proposons ainsi des accessoires écologiques de leur conception jusqu’à leur utilisation.

Le bonnet est en coton, doublé d’un tissu imperméable et hermétique. Grâce à son élastique résistant, le bonnet convient à toutes les têtes.

Le bonnet mesure environ 33cm de diamètre.

Les quantités sont limitées !"
laver,https://labelleboucle.fr/collections/laver/products/chouchou-en-satin-pour-les-cheveux,QUEEN SCRUNCHIE,Chouchou en Satin pour les cheveux,No Info,"Tous les chouchou de Queen Scrunchie sont fabriqués à la main à Amsterdam dans une démarche écologique et locale. Les tissus sont sélectionnés avec soin : ils sont issus de chutes de collections particulières ou de tissus recyclés. Ils sont composés d’un mélange de polyester, de satin et parfois de soie.

Chaque coloris est disponible en deux tailles :

Small : environ 10cm de diamètre
Medium : environ 14cm de diamètre"
laver,https://labelleboucle.fr/collections/laver/products/brosse-stimulating-scalp-brush,CUT BY FRED,Brosse Stimulating Scalp Brush,"17,00€","5% fibre de blé.
95% ABS (polymère amorphe).
Picots 100% en silicone."
laver,https://labelleboucle.fr/collections/laver/products/brosse-les-secrets-de-loly-cheveux-boucles,LES SECRETS DE LOLY,Brosse Les Secrets de Loly Cheveux Bouclés,"14,90€",Le manche de la brosse est composé de bois d’érable. Les brins très souples sont en nylons sur coussin en caoutchouc.
laver,https://labelleboucle.fr/collections/laver/products/trousse-bouclettes-en-fete,LA BELLE BOUCLE,Trousse Bouclettes en Fête,"6,90€",No Info
